# Time	Flux
0.0000000000e+00 5.4419752646e+00
1.8000000000e+03 5.4444348706e+00
3.6000000000e+03 5.4395715226e+00
5.4000000000e+03 5.4418831145e+00
7.2000000000e+03 5.4372505617e+00
9.0000000000e+03 5.4286090278e+00
1.0800000000e+04 5.4335425160e+00
1.2600000000e+04 5.4466173256e+00
1.4400000000e+04 5.4545353625e+00
1.6200000000e+04 5.4537467077e+00
1.8000000000e+04 5.4590336236e+00
1.9800000000e+04 5.4620815779e+00
2.1600000000e+04 5.4699940688e+00
2.3400000000e+04 5.4753792418e+00
2.5200000000e+04 5.4668216508e+00
2.7000000000e+04 5.4680215817e+00
2.8800000000e+04 5.4704102172e+00
3.0600000000e+04 5.4722768108e+00
3.2400000000e+04 5.4783644531e+00
3.4200000000e+04 5.4838570755e+00
3.6000000000e+04 5.4818456382e+00
3.7800000000e+04 5.4956256054e+00
3.9600000000e+04 5.4891937490e+00
4.1400000000e+04 5.4891646100e+00
4.3200000000e+04 5.4841752228e+00
4.5000000000e+04 5.4766683482e+00
4.6800000000e+04 5.4789161833e+00
4.8600000000e+04 5.4713464828e+00
5.0400000000e+04 5.4666636068e+00
5.2200000000e+04 5.4709852787e+00
5.4000000000e+04 5.4705864944e+00
5.5800000000e+04 5.4740752205e+00
5.7600000000e+04 5.4749274635e+00
5.9400000000e+04 5.4788058837e+00
6.1200000000e+04 5.4875128162e+00
6.3000000000e+04 5.4897752926e+00
6.4800000000e+04 5.4900337808e+00
6.6600000000e+04 5.4872249076e+00
6.8400000000e+04 5.4951249028e+00
7.0200000000e+04 5.4926401426e+00
7.2000000000e+04 5.4916265003e+00
7.3800000000e+04 5.4839370086e+00
7.5600000000e+04 5.4917210117e+00
7.7400000000e+04 5.4995310655e+00
7.9200000000e+04 5.5060544561e+00
8.1000000000e+04 5.4989901443e+00
8.2800000000e+04 5.5019763153e+00
8.4600000000e+04 5.4985372881e+00
8.6400000000e+04 5.4984319636e+00
8.8200000000e+04 5.4982318419e+00
9.0000000000e+04 5.5009445534e+00
9.1800000000e+04 5.5030851555e+00
9.3600000000e+04 5.5036033976e+00
9.5400000000e+04 5.5060975583e+00
9.7200000000e+04 5.5097443274e+00
9.9000000000e+04 5.5082649647e+00
1.0080000000e+05 5.5123706074e+00
1.0260000000e+05 5.5142685716e+00
1.0440000000e+05 5.5187324860e+00
1.0620000000e+05 5.5181324279e+00
1.0800000000e+05 5.5109395926e+00
1.0980000000e+05 5.5100163669e+00
